"Bif","Score"
F13_P0_80.stl,0
F13_Mod_42.stl,2
F13_Mod_16.stl,1
F13_GT_125.stl,3
F13LQ_Mod_153.stl,5
F13_GT_63.stl,4
F11_P0_5.stl,0
F11_Mod_38.stl,4
F11_Mod_5.stl,3
F11_GT_5.stl,1
F11LQ_GT_1.stl,5
F11_GT_16.stl,2
F3_P0_161.stl,0
F3_Mod_161.stl,5
F3_Mod_31.stl,4
F3_Mod_135.stl,3
F3LQ_Mod_127.stl,2
F3_GT_132.stl,1
F12_P0_11.stl,0
F12_Mod_53.stl,4
F12_Mod_11.stl,1
F12_GT_41.stl,3
F12LQ_GT_81.stl,2
F12_GT_33.stl,5
F12_P0_11.stl,0
F12_Mod_1.stl,5
F12_Mod_62.stl,1
F12_GT_55.stl,4
F12LQ_GT_69.stl,2
F12_GT_53.stl,3
F5b_P0_100.stl,0
F5_GT_49.stl,3
F5b_Mod_13.stl,5
F5_GT_113.stl,4
F5LQ_GT_67.stl,1
F5_GT_115.stl,2
F14_P0_23.stl,0
F14_Mod_10.stl,5
F14_Mod_162.stl,3
F14_GT_1.stl,1
F14LQ_GT_59.stl,4
F14_GT_106.stl,2
F1_P0_38.stl,0
F1_Mod_69.stl,2
F1_Mod_8.stl,4
F1_GT_62.stl,1
F1LQ_GT_7.stl,5
F1_GT_20.stl,3
F5c_P0_101.stl,0
F5c_Mod_57.stl,5
F5c_Mod_141.stl,4
F5c_GT_126.stl,1
F5LQ_GT_63.stl,3
F5c_GT_141.stl,2
F12_P0_11.stl,0
F12_Mod_106.stl,4
F12_Mod_42.stl,5
F12_GT_65.stl,1
F12LQ_Mod_118.stl,3
F12_GT_106.stl,2
F1_P0_38.stl,0
F1_Mod_14.stl,2
F1_Mod_38.stl,4
F1_GT_155.stl,5
F1LQ_GT_127.stl,3
F1_GT_130.stl,1
F8b_P0_102.stl,0
F8b_Mod_102.stl,2
F8b_Mod_15.stl,4
F8b_GT_145.stl,3
F8LQ_Mod_137.stl,5
F8b_GT_13.stl,1
F8b_P0_102.stl,0
F8b_Mod_56.stl,3
F8b_Mod_73.stl,4
F8b_GT_6.stl,1
F8LQ_Mod_152.stl,5
F8b_GT_27.stl,2
F14_P0_23.stl,0
F14_Mod_38.stl,3
F14_Mod_42.stl,4
F14_GT_23.stl,1
F14LQ_Mod_100.stl,5
F14_GT_21.stl,2
F6_P0_20.stl,0
F6_Mod_174.stl,5
F6_Mod_58.stl,1
F6_GT_9.stl,4
F6LQ_Mod_142.stl,2
F6_GT_79.stl,3
F7_P0_15.stl,0
F7_Mod_40.stl,4
F7_Mod_15.stl,1
F7_GT_73.stl,2
F7LQ_Mod_120.stl,5
F7_GT_35.stl,3
F11_P0_5.stl,0
F11_Mod_19.stl,2
F11_Mod_29.stl,4
F11_GT_12.stl,1
F11LQ_Mod_67.stl,5
F11_GT_0.stl,3
F5c_P0_101.stl,0
F5_Mod_47.stl,4
F5c_Mod_101.stl,3
F5_GT_47.stl,2
F5LQ_Mod_105.stl,5
F5_GT_57.stl,1
F7_P0_15.stl,0
F7_Mod_29.stl,1
F7_Mod_76.stl,2
F7_GT_55.stl,3
F7LQ_Mod_126.stl,4
F7_GT_33.stl,5
F6_P0_20.stl,0
F6_Mod_138.stl,3
F6_Mod_14.stl,5
F6_GT_136.stl,1
F6LQ_Mod_120.stl,4
F6_GT_134.stl,2
F6_P0_20.stl,0
F6_Mod_62.stl,4
F6_Mod_12.stl,5
F6_GT_43.stl,3
F6LQ_P0_20.stl,1
F6_GT_25.stl,2
F12_P0_11.stl,0
F12_Mod_122.stl,2
F12_Mod_35.stl,1
F12_GT_80.stl,4
F12LQ_GT_75.stl,5
F12_GT_29.stl,3
F13_P0_80.stl,0
F13_Mod_80.stl,1
F13_Mod_33.stl,4
F13_GT_76.stl,2
F13LQ_GT_75.stl,5
F13_GT_125.stl,3
F5b_P0_100.stl,0
F5b_Mod_100.stl,2
F5b_Mod_139.stl,5
F5b_GT_126.stl,3
F5LQ_GT_4.stl,4
F5b_GT_100.stl,1
